statusId | label
1|test
statusId|sensorName|value|timestamp
1|K6DS3TR Gyroscope Sensor|[-0.172264,-0.09773844,-0.081855945]|1477918467016
1|Gravity Sensor|[-0.78071564,4.3226175,8.767886]|1477918467016
1|Linear Acceleration Sensor|[-0.12432021,-0.1062994,-0.014417648]|1477918467016
1|YAS537 Magnetic Sensor|[9.2,-33.2,-27.4]|1477918467016
1|K6DS3TR Acceleration Sensor|[-0.90503585,4.216318,8.7534685]|1477918467016
1|K6DS3TR Acceleration Sensor|[-0.9217958,4.2594147,8.791777]|1477918467021
1|K6DS3TR Gyroscope Sensor|[-0.17592919,-0.10995574,-0.07819075]|1477918467020
1|K6DS3TR Gyroscope Sensor|[-0.16493362,-0.13316862,-0.07452556]|1477918467025
1|Gravity Sensor|[-0.79651237,4.3176103,8.768932]|1477918467026
1|Linear Acceleration Sensor|[-0.10373497,-0.034252644,0.056365013]|1477918467026
1|YAS537 Magnetic Sensor|[9.3,-33.3,-27.4]|1477918467026
1|K6DS3TR Acceleration Sensor|[-0.90024734,4.2833576,8.825297]|1477918467026
1|K6DS3TR Acceleration Sensor|[-0.90982443,4.2833576,8.868394]|1477918467031
1|K6DS3TR Gyroscope Sensor|[-0.16126843,-0.15149458,-0.07086037]|1477918467030
1|K6DS3TR Gyroscope Sensor|[-0.15271631,-0.17470746,-0.061086524]|1477918467035
1|Gravity Sensor|[-0.8068856,4.3108788,8.771296]|1477918467035
1|Linear Acceleration Sensor|[-0.095755994,-0.0059728622,0.08752155]|1477918467036
1|YAS537 Magnetic Sensor|[9.400001,-33.2,-27.4]|1477918467036
1|K6DS3TR Acceleration Sensor|[-0.9026416,4.304906,8.858817]|1477918467036
1|K6DS3TR Acceleration Sensor|[-0.8667275,4.3025117,8.844451]|1477918467041
1|K6DS3TR Gyroscope Sensor|[-0.14905111,-0.2003638,-0.05131268]|1477918467041
1|K6DS3TR Gyroscope Sensor|[-0.15027285,-0.22235495,-0.04520403]|1477918467046
1|Gravity Sensor|[-0.81230783,4.303958,8.774194]|1477918467046
1|Linear Acceleration Sensor|[-0.035265446,-0.01581192,0.048708916]|1477918467046
1|YAS537 Magnetic Sensor|[9.5,-33.2,-27.5]|1477918467046
1|K6DS3TR Acceleration Sensor|[-0.8475733,4.288146,8.822903]|1477918467046
1|K6DS3TR Acceleration Sensor|[-0.8044763,4.309695,8.770228]|1477918467051
1|K6DS3TR Gyroscope Sensor|[-0.14660765,-0.23945917,-0.042760566]|1477918467050
1|K6DS3TR Gyroscope Sensor|[-0.15149458,-0.26389378,-0.037873644]|1477918467055
1|Gravity Sensor|[-0.81148154,4.2967205,8.777815]|1477918467055
1|Linear Acceleration Sensor|[-0.0073604584,0.003396988,-0.0482893]|1477918467055
1|YAS537 Magnetic Sensor|[9.5,-33.2,-27.5]|1477918467056
1|K6DS3TR Acceleration Sensor|[-0.818842,4.3001175,8.729526]|1477918467056
1|K6DS3TR Acceleration Sensor|[-0.818842,4.314483,8.693612]|1477918467061
1|K6DS3TR Gyroscope Sensor|[-0.15393804,-0.27122417,-0.037873644]|1477918467061
1|K6DS3TR Gyroscope Sensor|[-0.1685988,-0.29810223,-0.035430185]|1477918467066
1|Gravity Sensor|[-0.80596644,4.290948,8.781146]|1477918467066
1|Linear Acceleration Sensor|[-0.012875557,0.009169579,-0.13781357]|1477918467066
1|YAS537 Magnetic Sensor|[9.6,-33.2,-27.4]|1477918467066
1|K6DS3TR Acceleration Sensor|[-0.818842,4.3001175,8.6433325]|1477918467066
1|K6DS3TR Acceleration Sensor|[-0.79250497,4.2833576,8.631361]|1477918467071
1|K6DS3TR Gyroscope Sensor|[-0.18203785,-0.31642818,-0.034208454]|1477918467070
1|K6DS3TR Gyroscope Sensor|[-0.19547687,-0.3371976,-0.02687807]|1477918467075
1|Gravity Sensor|[-0.798104,4.286449,8.784061]|1477918467075
1|Linear Acceleration Sensor|[0.060667336,-0.067736626,-0.09284401]|1477918467075
1|YAS537 Magnetic Sensor|[9.6,-33.2,-27.5]|1477918467075
1|K6DS3TR Acceleration Sensor|[-0.73743665,4.2187123,8.691217]|1477918467076
1|K6DS3TR Acceleration Sensor|[-0.69912827,4.1971636,8.719949]|1477918467081
1|K6DS3TR Gyroscope Sensor|[-0.21135938,-0.33964106,-0.02321288]|1477918467081
